,bankruptcy
1504,0
1510,0
1512,0
1518,0
1524,0
1527,0
1532,0
1534,1
1547,0
1554,0
1555,0
1559,0
1561,0
1569,0
1574,0
1583,0
1586,0
1589,0
1593,0
1598,0
1601,0
1606,0
1608,0
1609,0
1615,0
1622,0
1639,1
1640,1
1641,0
1644,0
1648,0
1650,0
1652,0
1653,0
1662,0
1666,0
1675,0
1677,0
1679,0
1688,0
1697,0
1701,0
1702,0
1704,0
1705,0
1709,0
1713,0
1714,0
1719,0
1720,0
1730,0
1737,0
1749,0
1751,1
1761,0
1767,0
1770,0
1778,0
1785,0
1794,0
1798,0
1802,0
1809,0
1822,0
1823,0
1825,0
1830,0
1832,0
1836,0
1856,0
1861,1
1872,1
1875,0
1877,0
1880,0
1882,0
1887,0
1895,0
1897,0
1898,0
1915,0
1924,0
1932,0
1946,0
1948,1
1953,1
1962,0
1974,0
1978,0
1984,0
1987,0
1989,0
1993,0
1997,0
2000,1
2001,1
2003,1
2007,0
2015,0
2016,0
2022,1
2029,0
2030,0
2031,0
2032,0
2036,0
2043,1
2050,0
2051,0
2058,0
2066,0
2075,0
2077,0
2081,0
2083,0
2084,0
2089,0
2095,1
2099,1
2100,1
2107,0
2116,0
2121,0
2123,0
2136,0
2141,0
2142,0
2143,0
2144,0
2146,0
2147,1
2151,0
2160,0
2161,0
2162,0
2170,0
2172,0
2173,0
2182,0
2185,0
2192,0
2200,0
2205,0
2208,0
2215,0
2216,0
2222,0
2234,0
2235,0
2237,0
2241,0
2246,1
2263,0
2270,0
2272,0
2278,0
2279,0
2282,0
2283,0
2284,0
2285,0
2287,0
2292,0
2294,1
2296,0
2304,0
2306,0
2309,0
2310,0
2315,0
2320,0
2321,0
2324,0
2325,0
2326,0
2337,0
2347,0
2351,0
2352,0
2353,0
2354,0
2356,0
2359,0
2360,0
2362,0
2365,0
2366,0
2371,0
2372,0
2376,0
2377,0
2386,0
2396,0
2408,0
2428,0
2433,0
2434,0
2437,0
2439,0
2440,1
2446,0
2456,0
2460,0
2462,0
2471,0
2473,0
2484,0
2485,0
2487,0
2498,0
2502,0
2515,0
2519,0
2527,0
2531,0
2532,0
2534,0
2540,0
2541,0
2543,0
2545,0
2546,0
2549,0
2551,0
2553,0
2562,0
2573,0
2582,0
2593,0
2619,0
2620,0
2625,0
2626,0
2630,0
2637,0
2639,0
2646,0
2650,0
2652,0
2653,0
2654,0
2690,0
2693,0
2694,0
2695,0
2706,0
2710,0
2719,0
2721,0
2724,0
2725,0
2731,0
2738,0
2744,0
2750,0
2772,0
2775,0
2779,0
2781,0
2792,0
2795,0
2800,0
2809,0
2812,0
2814,0
2815,0
2826,0
2848,0
2852,0
2853,0
2864,0
2867,0
2869,0
2878,0
2881,0
2882,0
2883,0
2892,0
2907,1
2913,0
2924,0
2928,0
2931,0
2937,0
2938,0
2949,0
2951,0
2952,0
2959,0
2960,0
2964,0
2965,0
2972,0
2978,0
2983,0
2985,0
2998,0
3003,0
3018,0
3027,0
3032,0
3033,0
3043,0
3047,0
3055,0
3056,0
3059,1
3060,0
3062,0
3065,0
3076,0
3085,0
3086,0
3088,0
3090,0
3092,0
3096,0
3099,0
3105,0
3106,0
3107,0
3108,0
3114,1
3118,0
3119,0
3123,0
3132,0
3135,0
3137,0
3138,0
3139,0
3141,0
3145,0
3158,0
3163,0
3166,0
3171,0
3175,0
3179,0
3193,0
3206,0
3210,0
3221,0
3226,0
3231,0
3234,0
3235,0
3239,0
3245,0
3247,0
3249,0
3251,0
3253,0
3256,0
3259,0
3261,0
3264,0
3267,0
3269,0
3275,0
3290,0
3295,0
3306,0
3312,0
3315,0
3320,0
3321,0
3337,0
3338,0
3344,0
3366,0
3367,0
3368,0
3370,0
3377,0
3381,0
3385,0
3386,0
3387,0
3391,0
3402,0
3404,0
3407,0
3408,0
3409,0
3424,0
3427,0
3440,0
3443,0
3452,0
3457,0
3459,0
3466,0
3467,0
3469,0
3474,0
3475,0
3478,0
3480,0
3488,0
3492,0
3497,0
3499,0
3502,0
3504,0
3508,0
3510,0
3514,0
3520,0
3522,0
3523,0
3524,0
3525,0
3529,0
3533,0
3541,0
3542,0
3545,0
3546,0
3549,0
3557,0
3558,0
3562,0
3563,0
3566,0
3569,0
3572,0
3579,0
3588,0
3590,0
3593,0
3594,1
3597,1
3599,0
3603,0
3606,0
3613,0
3614,0
3615,0
3625,0
3627,0
3635,0
3662,0
3664,0
3682,0
3685,0
3686,0
3688,0
3710,0
3717,0
3720,0
3724,0
3739,0
3740,0
3741,0
3744,0
3747,0
3750,0
3757,0
3761,0
3766,0
3778,0
3779,0
3780,0
3793,0
3794,0
3795,0
3799,0
3800,0
3808,0
3811,0
3819,0
3827,0
3829,0
3836,0
3844,0
3850,0
3860,0
3862,0
3864,0
3866,0
3873,0
3878,0
3898,0
3903,0
3914,0
3917,0
3932,0
3933,0
3934,0
3941,0
3942,0
3946,0
3951,0
3954,0
3958,0
3959,0
3960,0
3962,0
3964,0
3974,0
3986,0
3987,0
3992,0
4000,0
4008,0
4009,0
4011,0
4019,0
4032,0
4044,0
4045,0
4050,0
4063,0
4064,0
4067,0
4083,0
4094,0
4096,0
4097,0
4101,0
4102,0
4103,0
4104,0
4110,0
4128,0
4130,0
4135,0
4137,0
4138,0
4141,0
4149,0
4150,0
4161,0
4170,0
4171,0
4172,0
4192,0
4198,0
4208,0
4209,0
4219,0
4220,0
4224,0
4229,0
4231,0
4241,0
4244,0
4250,0
4253,0
4257,0
4269,0
4281,0
4288,0
4294,0
4301,0
4322,0
4325,0
4328,0
4330,0
4334,0
4344,0
4346,0
4361,0
4364,0
4367,0
4381,0
4386,0
4392,0
4396,0
4397,0
4401,0
4407,0
4412,0
4413,0
4417,0
4419,0
4436,0
4442,0
4445,0
4449,0
4459,0
4460,0
4461,0
4462,0
4475,0
4481,0
4482,0
4485,0
4488,0
4490,0
4498,0
4500,0
4503,0
4505,0
4510,0
4512,0
4518,0
4522,0
4523,0
4525,0
4542,0
4544,0
4554,0
4559,0
4561,0
4562,0
4563,0
4566,0
4567,0
4576,0
4579,0
4585,0
4596,0
4597,0
4599,0
4606,0
4614,0
4626,0
4628,0
4640,0
4645,0
4653,0
4665,0
4666,0
4668,0
4669,0
4670,0
4672,0
4676,0
4681,0
4682,0
4685,0
4686,0
4691,0
4693,0
4706,0
4707,0
4717,0
4724,0
4726,0
4728,0
4730,0
4732,0
4738,0
4741,0
4753,0
4765,0
4771,0
4773,0
4780,0
4784,0
4785,0
4793,0
4795,0
4796,0
4814,0
4815,0
4819,0
4825,0
4829,0
4833,0
4834,0
4848,0
4852,0
4858,0
4859,0
4861,0
4866,0
4871,0
4872,0
4876,0
4877,0
4880,0
4888,0
4903,0
4917,1
4925,0
4926,0
4940,0
4944,0
4946,0
4952,0
4956,0
4965,0
4967,0
4972,0
4992,0
4997,0
5003,0
5006,0
5009,0
5011,0
5012,0
5014,0
5020,0
5023,0
5032,0
5064,0
5066,0
5070,1
5071,0
5075,0
5076,0
5080,0
5084,0
5088,0
5092,0
5096,0
5100,0
5103,0
5105,0
5107,0
5122,0
5131,0
5132,0
5137,0
5138,0
5139,0
5143,0
5147,0
5148,1
5150,0
5153,0
5160,0
5164,0
5167,0
5177,0
5183,0
5186,0
5188,0
5208,0
5213,0
5221,0
5226,0
5230,0
5233,0
5238,0
5239,0
5240,0
5243,0
5250,0
5255,0
5266,0
5269,0
5272,0
5273,0
5279,0
5280,0
5281,0
5283,0
5284,0
5286,0
5289,0
5291,0
5297,0
5302,0
5306,0
5309,0
5310,0
5315,0
5318,0
5324,0
5328,0
5335,0
5336,0
5342,0
5345,0
5347,0
5350,0
5351,0
5352,0
5354,0
5359,0
5372,0
5377,0
5383,0
5399,0
5405,0
5425,0
5427,0
5435,0
5436,0
5440,0
5447,0
5450,0
5451,0
5453,0
5461,0
5463,0
5468,0
5470,0
5471,0
5477,0
5478,0
5491,0
5504,0
5509,0
5519,0
5522,0
5545,0
5565,0
5575,0
5576,0
5581,0
5583,0
5585,0
5588,0
5590,0
5591,0
5592,0
5604,0
5605,0
5621,0
5622,0
5623,0
5624,0
5628,0
5629,0
5634,0
5636,0
5637,0
5638,0
5646,0
5651,0
5653,0
5665,0
5677,0
5685,0
5691,0
5707,0
5709,0
5710,0
5712,0
5715,0
5726,0
5729,0
5735,0
5743,0
5744,0
5745,0
5750,0
5752,0
5753,0
5761,0
5764,0
5768,0
5771,0
5775,0
5781,0
5785,0
5788,0
5790,0
5800,0
5809,0
5811,0
5814,0
5817,0
5818,0
5822,0
5838,0
5839,0
5849,0
5857,0
5860,0
5866,0
5870,0
5872,0
5875,0
5877,0
5887,0
5890,0
5894,0
5898,1
5903,0
5911,0
5917,0
5923,0
5927,0
5929,0
5933,0
5934,0
5938,0
5942,0
5943,0
5950,0
5958,0
5965,0
5967,0
5972,0
5980,0
5982,0
5983,0
5987,0
5996,0
6005,0
6006,0
6016,0
6027,0
6030,0
6033,0
6038,0
6044,0
6046,0
6053,0
6054,0
6060,0
6061,0
6065,0
6066,0
6078,0
6080,0
6084,0
6091,0
6093,0
6097,0
6100,0
6120,0
6122,0
6131,0
6136,0
6138,0
6139,0
6149,0
6151,0
6156,0
6157,0
6163,0
6166,0
6173,0
6178,0
6183,0
6192,0
6202,0
6203,0
6205,0
6206,0
6214,0
6230,0
6232,0
6238,0
6240,0
6242,0
6262,0
6272,0
6289,0
6296,0
6298,0
6302,0
6306,0
6315,0
6316,0
6320,0
6322,0
6333,0
6346,0
6353,0
6354,0
6359,0
6369,0
6381,0
6385,0
6386,0
6392,0
6393,0
6396,0
6399,0
6400,0
6402,0
6403,0
6414,0
6420,0
6435,0
6438,0
6460,0
6463,0
6465,0
6469,0
6476,0
6489,0
6498,1
6500,1
6511,0
6513,0
6516,0
6522,0
6526,0
6530,0
6531,0
6533,0
6538,0
6539,0
6542,0
6554,0
6555,0
6558,0
6559,0
6569,0
6586,0
6588,0
6590,0
6592,0
6593,0
6597,0
6605,0
6611,0
6613,0
6618,0
6628,0
6629,0
6631,0
6632,0
6636,0
6649,0
6658,0
6667,0
6678,0
6679,0
6685,0
6689,0
6691,0
6692,0
6707,0
6712,0
6713,0
6714,0
6716,0
6718,0
6728,1
6743,0
6744,0
6749,0
6752,0
6756,0
6757,0
6763,0
6776,0
6785,0
6791,0
6799,0
6803,0
6816,0
