,SERIAL_NUM,AUM_M13
88407,405,770015
126869,406,1343331
141818,407,12123
52992,408,0
43227,409,1863737
125748,410,213078
22267,411,75022
115766,412,5727
126864,413,17072
65591,414,95109
5048,415,19238
20827,416,113467
125729,417,68293
61397,418,21148
31492,419,32550
123078,420,1160065
127540,421,53
36577,422,76288
78489,423,1158980
36893,424,4031
3223,425,57778
38503,426,189567
131531,427,23032
71893,428,107158
58217,429,1249760
141373,430,49133
100047,431,692006
64049,432,230303
48932,433,9328
12523,434,461030
49577,435,92578
95516,436,32476
25502,437,550238
1042,438,13719
110681,439,1270704
111627,440,1457520
112204,441,23078
146599,442,55283
46420,443,2
126935,444,21228
100705,445,2429704
36884,446,0
52607,447,3570
45493,448,62567
33427,449,320620
132651,450,13242
86988,451,8671
44017,452,44848
78091,453,332271
88379,454,30623
82307,455,13798
29408,456,390635
97973,457,330801
4243,458,14550
99306,459,889214
75599,460,113880
58744,461,1893184
55841,462,999121
43430,463,34427
29843,464,5069
126763,465,13840
2155,466,2212
13672,467,878
129086,468,336700
17764,469,344360
8058,470,49814
33224,471,3137617
24342,472,95160
65120,473,26539
121249,474,589
135157,475,9712
17923,476,21211
96708,477,68442
22030,478,4334
20576,479,23273
83787,480,845796
26002,481,1963
110497,482,1069680
149610,483,108490
129579,484,32348
27312,485,35252
30893,486,43695
32405,487,11505
680,488,373558
123643,489,36222
104452,490,802780
14905,491,1231132
117025,492,82826
122581,493,438795
118418,494,12345
14741,495,89870
3414,496,18187
4016,497,2614
139414,498,735
39464,499,381840
68060,500,295177
2715,501,848733
29249,502,371284
129380,503,269748
100905,504,1073887
76455,505,512440
51293,506,42290
91424,507,36
83960,508,80324
92641,509,16664
100500,510,31357
108568,511,927
33084,512,214485
87690,513,48571
31869,514,151916
500,515,18378
38034,516,2237
57348,517,28264
121309,518,9831
59972,519,32720
112334,520,25
54244,521,914050
51176,522,3811
35674,523,351291
36412,524,9567
7440,525,2408318
14838,526,27087
14317,527,0
95789,528,138562
132977,529,193231
92196,530,57
24080,531,527100
98645,532,10714
51112,533,7948
116516,534,426728
72393,535,25631
102641,536,13188
44009,537,318683
35938,538,1581535
147057,539,800
126556,540,400835
17711,541,693
39721,542,102145
78396,543,36469
81479,544,0
19205,545,21282
107071,546,20402
133375,547,182411
64362,548,590603
140831,549,95010
49583,550,215546
83030,551,27
84308,552,124093
1674,553,2854
2868,554,0
147945,555,302024
27619,556,0
91691,557,11335
103445,558,1018742
105044,559,182606
86490,560,42223
95290,561,428854
1331,562,258242
27760,563,1589
134683,564,174613
102566,565,243428
109807,566,753583
22791,567,32988
26728,568,41800
49757,569,10906
121558,570,17
4804,571,22577
27037,572,606801
3172,573,9
94474,574,16248
127462,575,1197240
116990,576,587259
143778,577,2918684
81401,578,537031
31543,579,672321
15381,580,330136
84936,581,16134
35122,582,1152103
62132,583,86554
54815,584,243
54487,585,113774
145670,586,186872
15621,587,1236678
67143,588,126438
98518,589,0
112607,590,11682
39598,591,20313
23936,592,88
4578,593,0
61427,594,14014
60107,595,595011
51853,596,560703
36713,597,105371
144036,598,1
61026,599,23
145580,600,68600
22874,601,28214
100367,602,603533
125767,603,700
18833,604,33057
120397,605,465550
7068,606,0
99416,607,222580
130845,608,21318
140037,609,42897
137694,610,975
99479,611,948829
142216,612,534014
142762,613,609543
39191,614,154314
66196,615,15205
122977,616,29775
149414,617,2233
56463,618,42
99655,619,93621
136179,620,0
32141,621,24660
72713,622,4367
121507,623,108695
100241,624,583621
122483,625,8946
136763,626,85927
32658,627,1287982
6004,628,106873
55348,629,15885
89688,630,127469
99712,631,12292
8386,632,289774
124791,633,55341
11599,634,1594997
140691,635,2242
15136,636,16198
138152,637,299465
83770,638,119091
119847,639,241938
137013,640,115036
69308,641,120776
68323,642,0
128683,643,28054
98979,644,89705
128977,645,265368
29095,646,1743
22766,647,17573
78326,648,31
106891,649,920697
131221,650,105319
136987,651,13450
147739,652,3142
127393,653,1411922
65788,654,1833646
141337,655,129005
9133,656,33998
134243,657,941495
134991,658,562429
71693,659,116197
96865,660,5003
149248,661,604140
149220,662,386552
113617,663,364123
79282,664,139377
84552,665,13734
57724,666,1089986
114317,667,216750
111533,668,71545
130104,669,176
124275,670,15403
27480,671,494766
118339,672,10711
137856,673,117909
132322,674,26479
4770,675,27663
115304,676,293631
94371,677,545864
16214,678,535012
86176,679,546196
127302,680,1117
31597,681,1112795
402,682,0
88484,683,30753
129122,684,754387
47029,685,196362
10230,686,30736
90287,687,28118
145315,688,894061
11194,689,398975
106807,690,5175
17935,691,3723
143260,692,42176
26948,693,1080916
7050,694,292976
36479,695,7896
94412,696,37900
49368,697,1302473
43607,698,630689
21647,699,231330
59116,700,451517
113806,701,901410
129758,702,11185
18101,703,12027
381,704,5207
107386,705,195550
12624,706,123744
45193,707,11590
109294,708,19133
47619,709,84288
35347,710,942
45313,711,2295885
136350,712,17669
136710,713,1732
123767,714,1652
92713,715,236832
139650,716,71667
85272,717,451
117799,718,1289360
126859,719,0
32716,720,14972
142369,721,118432
61393,722,137646
42112,723,175244
66569,724,15286
111733,725,43
95456,726,240117
33475,727,342575
15221,728,3104
139657,729,67394
31545,730,1684
45450,731,197408
135694,732,1062
87459,733,217386
16317,734,41796
80563,735,528
77047,736,31527
51413,737,47679
78575,738,155042
25704,739,7811
133286,740,31795
50777,741,52060
2081,742,208864
131212,743,343814
111801,744,77554
8349,745,51574
149624,746,58
15195,747,286765
97467,748,1148206
50919,749,523421
66799,750,421
33138,751,219795
29649,752,140155
48123,753,1402697
69061,754,14
4581,755,196692
26658,756,1117372
145940,757,15206
16786,758,518648
23384,759,572244
114263,760,112583
17858,761,40404
80025,762,122157
131806,763,141608
82018,764,922136
33719,765,181754
86548,766,542297
116952,767,22903
143824,768,74554
111312,769,387819
45664,770,25917
179,771,35624
59600,772,760637
17901,773,836017
132507,774,82002
92319,775,130
87289,776,24865
34985,777,59247
62081,778,9743
79503,779,343
144993,780,1722704
125916,781,761
65371,782,11155
128381,783,213002
121353,784,24415
125879,785,8729
11070,786,563875
17572,787,29862
20792,788,123443
98347,789,1708225
110847,790,863868
56157,791,925
56099,792,1639290
108655,793,27251
115384,794,21707
8925,795,125938
129798,796,114426
54132,797,19480
136663,798,25244
88722,799,1071914
138306,800,18038
94243,801,216675
117715,802,142163
143535,803,439031
144910,804,604335
71240,805,138910
82566,806,1658006
127650,807,78638
125301,808,1909762
132146,809,1324429
94750,810,0
16610,811,26301
70777,812,340709
35863,813,112228
149289,814,210744
79661,815,1267744
144295,816,1172812
120554,817,2889452
46208,818,554678
34974,819,3918546
103457,820,237197
48680,821,2804830
5789,822,29146
120622,823,60161
120730,824,16181
147941,825,319523
29909,826,572
127696,827,562226
18279,828,25590
129209,829,107907
87830,830,22459
119935,831,213193
116761,832,47786
123294,833,263407
89189,834,9
53928,835,55588
60418,836,35096
52351,837,333440
24242,838,1040650
135436,839,24194
61168,840,96
47990,841,16335
64313,842,10966
116127,843,5
44079,844,33444
92669,845,1785224
50599,846,335607
58896,847,1109468
78988,848,414154
102577,849,21
96523,850,4037429
126204,851,426
128059,852,11020
91187,853,207363
48300,854,3449325
96624,855,115649
22164,856,589044
60845,857,125202
98814,858,19865
36467,859,2215849
83748,860,446525
134636,861,17
65605,862,185
137974,863,0
111110,864,186330
141363,865,17427
7590,866,2330714
117073,867,373394
116878,868,10506
68513,869,23274
127815,870,39845
97212,871,23217
76110,872,45411
122583,873,1102466
42544,874,15624
24751,875,991
38807,876,17890
37516,877,292609
80357,878,539074
33102,879,53581
17140,880,158458
22698,881,51238
45796,882,2857099
40589,883,71438
111999,884,54505
53971,885,158876
47337,886,1348637
53882,887,10492
82952,888,2441
16277,889,213
128575,890,19074
122942,891,1312832
27621,892,109948
23355,893,415339
85169,894,2487
47673,895,1354
56120,896,668995
43287,897,445937
82350,898,55682
146905,899,35161
4648,900,1826161
70562,901,22669
30969,902,9906
16866,903,9210
49330,904,515588
27355,905,27906
17965,906,919169
45561,907,61877
98557,908,108155
136700,909,184584
67927,910,199584
101885,911,413346
7210,912,27516
59476,913,62
16017,914,958502
94955,915,18
85424,916,113694
21965,917,1983065
120881,918,2082970
66618,919,1044077
68141,920,33603
101784,921,95958
12051,922,786337
147542,923,15297
10272,924,216668
24790,925,17143
43486,926,1055833
137581,927,15795
68059,928,1447563
71508,929,210639
90396,930,1743904
70354,931,65673
135928,932,24256
68390,933,25636
63536,934,99699
112488,935,105380
108276,936,215712
5424,937,20731
105019,938,48136
144381,939,1917187
142486,940,4563942
107213,941,190
123082,942,505712
125083,943,1017883
146507,944,45333
51670,945,20370
73315,946,20579
17574,947,1047507
9653,948,20190
147390,949,1920
82219,950,59105
117341,951,1422
13009,952,6939
4227,953,7696
11801,954,668671
12445,955,6677171
35927,956,2306
130165,957,16
4351,958,10864
81753,959,1890345
145337,960,114334
121186,961,14101
132844,962,73
54848,963,17081
41093,964,137879
24816,965,54272
139916,966,77
120381,967,1235
92320,968,149438
41763,969,89228
103843,970,58569
20370,971,12808
134714,972,21293
93230,973,86849
20025,974,16
67743,975,170392
22914,976,865701
74280,977,631913
125259,978,265842
72450,979,48432
146142,980,38563
6345,981,0
64512,982,29087
75515,983,10969
53237,984,80877
90716,985,104438
134395,986,63235
24583,987,510548
72118,988,1295265
109122,989,9176
34121,990,18544
11742,991,336220
142417,992,87689
51252,993,3192074
83589,994,7700
57840,995,3049907
86304,996,773033
142152,997,49628
95098,998,1286259
5757,999,53802
148156,1000,4147
136093,1001,525050
132552,1002,275
57324,1003,624
41981,1004,101769
13753,1005,10194
38943,1006,862503
77176,1007,21354
93251,1008,5925
119679,1009,93180
139285,1010,175628
52565,1011,37993
81037,1012,9870432
103478,1013,10555
112667,1014,1694
51551,1015,107504
64775,1016,8143
80924,1017,94869
88675,1018,125118
60452,1019,634044
86687,1020,416876
97055,1021,15853
50084,1022,295
144125,1023,71472
131851,1024,196492
23884,1025,25788
143369,1026,8902013
116341,1027,949896
107042,1028,52675
68816,1029,1685739
135529,1030,1390139
20568,1031,35211
28405,1032,9774
30384,1033,67231
103831,1034,71
6664,1035,387136
123862,1036,77009
75500,1037,73
110726,1038,604
31633,1039,3076
138640,1040,50350
7902,1041,637182
97282,1042,893981
52076,1043,302641
116163,1044,1333750
12330,1045,645607
12740,1046,37843
85316,1047,104197
74821,1048,7
18519,1049,308516
52743,1050,5068
24910,1051,866430
91995,1052,8387
100978,1053,12361
16728,1054,75153
68219,1055,687859
78704,1056,18624
140078,1057,41151
22832,1058,881
98303,1059,17503
127104,1060,38987
112777,1061,664660
124022,1062,56893
355,1063,231793
111481,1064,71456
26804,1065,93
70403,1066,833926
128935,1067,182692
61310,1068,14131
84655,1069,40099
19534,1070,52715
31803,1071,41041
102774,1072,74365
96943,1073,315162
68473,1074,12710
27973,1075,24704
67131,1076,1648326
142839,1077,1179030
28934,1078,2148558
65978,1079,396531
15190,1080,534809
45196,1081,286241
126199,1082,116866
44723,1083,241488
80099,1084,30150
139364,1085,204268
79220,1086,280868
122909,1087,534192
85892,1088,717
40481,1089,1190232
13644,1090,1194586
3025,1091,38639
64836,1092,21502
42972,1093,415
28641,1094,47360
130509,1095,277702
60410,1096,189174
107283,1097,888999
148029,1098,14422
139223,1099,156417
22108,1100,46160
40260,1101,19498
35330,1102,219
77773,1103,141280
101930,1104,84693
72759,1105,4261287
11042,1106,534177
5354,1107,13685
133710,1108,2092360
120004,1109,345473
25509,1110,1396
146773,1111,500954
79078,1112,24498
58314,1113,405
26958,1114,898262
88742,1115,7724
53112,1116,26194
41227,1117,453
135209,1118,39673
31254,1119,6020
34529,1120,18791
88803,1121,1085202
38094,1122,675486
6794,1123,44254
101160,1124,1720658
99008,1125,44644
89220,1126,167682
64412,1127,64220
48187,1128,159124
21108,1129,7373
60919,1130,525398
43164,1131,21261
18725,1132,94593
101251,1133,311571
111861,1134,3453
147986,1135,402728
104159,1136,886290
90418,1137,60599
94798,1138,800870
100601,1139,22283
19277,1140,823689
27909,1141,731722
56287,1142,191925
148959,1143,175998
55356,1144,58847
117280,1145,113330
120610,1146,707755
124636,1147,1189560
114652,1148,6152
100712,1149,300473
128939,1150,113976
132574,1151,11061
43699,1152,684007
136417,1153,19466
54183,1154,71685
92296,1155,61075
139451,1156,319167
75841,1157,186586
80765,1158,84599
112763,1159,12855
36608,1160,106841
138788,1161,25979
140715,1162,534775
134999,1163,240761
71966,1164,964477
29448,1165,151417
94444,1166,43954
25350,1167,191678
147183,1168,15675
26524,1169,182329
39299,1170,1370590
69916,1171,2618
81184,1172,19682
7303,1173,691129
59699,1174,22038
91218,1175,24
73513,1176,1072
28166,1177,2034067
9387,1178,10085
95071,1179,374
33852,1180,7110
101814,1181,75152
33801,1182,91751
76454,1183,288822
115706,1184,46082
50466,1185,2735599
37621,1186,1037781
27595,1187,593889
131883,1188,1311995
73128,1189,38930
67618,1190,319194
69922,1191,135500
38159,1192,1014002
4273,1193,28471
60663,1194,2296195
77527,1195,12903
9296,1196,1020241
11233,1197,1150251
54475,1198,471657
141240,1199,55071
82531,1200,22421
98402,1201,998461
42013,1202,175022
114276,1203,14864
70215,1204,857471
93149,1205,20403
48836,1206,45769
86825,1207,295903
11708,1208,181810
131967,1209,198
51704,1210,352251
54126,1211,489984
1711,1212,427
48929,1213,12079
63752,1214,0
115885,1215,619292
11594,1216,985152
41871,1217,468577
32229,1218,49508
132284,1219,18530
10663,1220,10163
63197,1221,1529696
73898,1222,45905
15430,1223,27904
76139,1224,1037204
129695,1225,360449
44493,1226,2492
9750,1227,901830
70310,1228,497672
884,1229,905523
24587,1230,147101
27304,1231,26897
134235,1232,4374769
79347,1233,17675
93957,1234,20071
105529,1235,0
9846,1236,38574
121250,1237,1216050
20604,1238,15204
42575,1239,417445
6257,1240,768517
2455,1241,33177
30830,1242,1435365
44182,1243,3109
8807,1244,146730
114099,1245,199
145145,1246,9152
91550,1247,287751
79130,1248,1151
14561,1249,11399
15180,1250,2019987
81365,1251,73564
123457,1252,51299
105380,1253,85483
84242,1254,123972
88661,1255,733039
7995,1256,552728
44885,1257,19513
42991,1258,316041
40012,1259,1193
99564,1260,1255
126380,1261,21898
74067,1262,7053
45610,1263,273052
113294,1264,5084
121972,1265,50502
67340,1266,53749
149699,1267,1219
93879,1268,3053
24062,1269,24336
75629,1270,496883
28505,1271,1223391
99881,1272,187725
39848,1273,1041789
82075,1274,75434
6153,1275,1686752
19845,1276,51382
28659,1277,1705
140533,1278,1731452
20379,1279,307
49818,1280,291114
146297,1281,1981826
13808,1282,37438
8299,1283,13706
82227,1284,2243
139309,1285,33343
35763,1286,296775
127295,1287,84
2576,1288,1355
45978,1289,2728605
51675,1290,2806
51897,1291,75772
147090,1292,23
1497,1293,16659
139694,1294,4302436
141281,1295,1938933
133460,1296,565762
61139,1297,15993
6501,1298,3847
41270,1299,115263
20921,1300,405272
3675,1301,262
32654,1302,324058
133212,1303,350574
10207,1304,32309
8643,1305,104047
131287,1306,119977
87058,1307,603576
105609,1308,21339
122165,1309,17002
131284,1310,41229
11178,1311,6670
60163,1312,78012
71776,1313,400514
31195,1314,1405
128126,1315,3
38540,1316,722014
86391,1317,2482
116236,1318,672136
22465,1319,1266999
86326,1320,121032
107120,1321,122425
47517,1322,661977
75418,1323,7736
49882,1324,78387
21718,1325,98383
21833,1326,137725
25420,1327,12300
122274,1328,906635
126904,1329,155734
71920,1330,14452
23653,1331,926963
77399,1332,609464
70337,1333,442643
48593,1334,19885
134972,1335,737939
56406,1336,260561
32184,1337,1752255
56980,1338,35804
136496,1339,211468
46249,1340,1013027
49048,1341,72353
11615,1342,1211594
120121,1343,864977
141471,1344,34725
28433,1345,1492
30112,1346,113941
108086,1347,70
8564,1348,507131
112888,1349,111156
54303,1350,11346
95697,1351,129440
109949,1352,290535
75524,1353,578147
149351,1354,59658
34500,1355,608434
104235,1356,24286
137355,1357,17470
42390,1358,180082
55141,1359,2000
98128,1360,14302
135996,1361,424356
100908,1362,13892
22764,1363,2880
87660,1364,107302
26442,1365,48449
31538,1366,512417
88072,1367,9286
23379,1368,25686
4935,1369,487064
37444,1370,192329
66362,1371,18293
3343,1372,189626
44122,1373,582520
11702,1374,430575
61798,1375,5229
92690,1376,12237
127725,1377,347745
88244,1378,100770
46461,1379,488000
90276,1380,25465
37643,1381,3052
144321,1382,354840
117031,1383,1223724
47006,1384,32
132987,1385,709
80835,1386,962342
126837,1387,19036
148880,1388,30330
124032,1389,3428
106051,1390,52416
11670,1391,5232
102044,1392,504726
114471,1393,97985
86165,1394,566796
112226,1395,9
18829,1396,82
60494,1397,870984
62915,1398,61246
24058,1399,977777
63491,1400,9791
111268,1401,32011
56582,1402,1061754
10094,1403,523644
55149,1404,1269273
138698,1405,15030
109606,1406,2227335
13748,1407,5212
91313,1408,2465
147179,1409,84140
93560,1410,35539
80087,1411,652475
24924,1412,40403
72309,1413,6818
58917,1414,645105
7935,1415,128
108203,1416,1202980
90607,1417,10958
143809,1418,93
26955,1419,157355
39142,1420,278
57855,1421,288694
86443,1422,211112
60793,1423,544029
138070,1424,487443
138896,1425,970893
39179,1426,54463
76175,1427,543570
129169,1428,2
117927,1429,24931
124522,1430,263787
145142,1431,31416
108235,1432,254907
72695,1433,20152
6062,1434,533240
28846,1435,12298
74943,1436,99
100409,1437,268941
22710,1438,341
141789,1439,492536
139703,1440,34716
105061,1441,429880
93593,1442,25359
114680,1443,83377
103737,1444,14629
124205,1445,1979446
16690,1446,28893
149379,1447,42649
121405,1448,14204
120044,1449,3693
23173,1450,168015
129713,1451,43897
46512,1452,14904
81799,1453,2417039
112964,1454,13
117334,1455,122391
137138,1456,59171
80352,1457,944314
148784,1458,482790
124223,1459,27579
12195,1460,68713
66863,1461,551603
35300,1462,1408571
237,1463,111254
19034,1464,67573
10216,1465,229127
123389,1466,49874
70470,1467,75638
23237,1468,219345
85301,1469,886074
68834,1470,41970
47624,1471,111020
77899,1472,57341
33585,1473,81262
53657,1474,217
108375,1475,2654449
124961,1476,219950
45970,1477,1239624
146017,1478,159030
129824,1479,14382
120938,1480,886587
147077,1481,623197
133078,1482,78
87827,1483,110077
68215,1484,237
143000,1485,332510
54681,1486,1480422
90911,1487,3024220
18412,1488,73235
80738,1489,497621
149535,1490,27168
87199,1491,151853
11638,1492,10626
58802,1493,341052
63117,1494,10576
147394,1495,9414
88931,1496,8026
29303,1497,15698
78598,1498,70177
114379,1499,497302
86183,1500,207696
21041,1501,108402
143021,1502,21114
71416,1503,65516
83555,1504,11220
65475,1505,1474186
140674,1506,19137
22434,1507,78
23493,1508,655222
98843,1509,1654293
119767,1510,59212
83447,1511,171768
4932,1512,13211
144050,1513,1222934
6453,1514,443366
45915,1515,535969
39425,1516,4169
42039,1517,33492
132239,1518,136783
16303,1519,26841
12575,1520,443255
107021,1521,1087059
99726,1522,9899
85658,1523,357829
50648,1524,153891
92223,1525,1278210
148604,1526,1506742
105325,1527,44050
106550,1528,26555
148976,1529,0
6995,1530,0
78255,1531,32279
127658,1532,20151
124879,1533,863181
104028,1534,59
40767,1535,87409
73271,1536,298255
50068,1537,95678
51153,1538,1380009
21742,1539,20944
49175,1540,1222960
112370,1541,254413
77430,1542,1974113
110919,1543,310837
80922,1544,53321
108649,1545,455946
52900,1546,1055151
144329,1547,578567
31653,1548,713111
5078,1549,72919
36854,1550,208565
139838,1551,4405381
40995,1552,1916230
77033,1553,37639
39227,1554,43777
36926,1555,64038
45344,1556,703129
69942,1557,491889
33725,1558,84183
85770,1559,196337
133291,1560,1469218
3933,1561,51967
18144,1562,651
120404,1563,27506
16492,1564,8487
41065,1565,441045
61531,1566,13842
119492,1567,16695
142771,1568,3558
111821,1569,1407204
132585,1570,150792
112361,1571,39458
132227,1572,57281
89206,1573,14492
140952,1574,278793
103589,1575,595163
73000,1576,16505
6358,1577,42436
111489,1578,49334
143355,1579,211365
48651,1580,11367
70967,1581,40724
77666,1582,22355
68742,1583,130293
61240,1584,23125
85681,1585,169417
102022,1586,37282
72081,1587,171896
120198,1588,2515
41837,1589,781247
124586,1590,49
22668,1591,1920047
38005,1592,290026
145768,1593,99967
6813,1594,1440501
79745,1595,32468
75481,1596,23169
60627,1597,1118890
8711,1598,18411
36752,1599,182885
71646,1600,361497
57253,1601,1878422
61709,1602,363545
63374,1603,22757
111608,1604,25500
109860,1605,4237
42781,1606,43097
38482,1607,448039
136320,1608,216
74125,1609,729152
20834,1610,422796
132877,1611,66353
39617,1612,51609
68299,1613,897647
64328,1614,1484352
145007,1615,540863
4469,1616,92769
20215,1617,257414
147539,1618,1392915
117800,1619,81395
87355,1620,56351
124085,1621,13827
97457,1622,761835
130418,1623,57981
126631,1624,8593
5302,1625,288517
34888,1626,43248
38441,1627,180443
20490,1628,793807
3290,1629,11534
119007,1630,6370
129666,1631,7175
15622,1632,130301
25220,1633,1616410
72416,1634,23779
28191,1635,130918
30181,1636,2534
35205,1637,26137
43678,1638,28437
117320,1639,10053
144315,1640,55802
144110,1641,479872
137477,1642,1305785
98725,1643,4929
148820,1644,130310
92286,1645,1290905
149600,1646,1530417
139683,1647,14631
12627,1648,35731
70029,1649,707835
41194,1650,7031
104496,1651,49206
91415,1652,545168
113012,1653,62882
17675,1654,65
66184,1655,17161
98365,1656,21086
147251,1657,166381
101978,1658,88
