,64
2770,1
1369,2
892,3
1728,2
1829,3
1905,3
110,0
806,1
413,2
1653,2
1145,3
2490,0
2883,3
273,0
15,0
697,2
2180,1
2261,1
385,0
2251,2
93,0
1274,3
1970,0
254,2
1045,0
1310,0
1267,0
1623,2
286,2
932,0
1687,1
342,1
2359,3
587,1
1977,2
769,2
901,3
1412,1
1120,1
800,1
919,1
640,3
1691,0
1928,1
805,2
901,1
907,1
2644,0
621,3
251,2
419,2
132,1
1314,0
2089,0
2463,3
978,1
452,3
243,1
770,3
666,1
1303,1
1605,0
213,0
2668,2
1236,1
859,0
1337,1
37,3
2237,3
2031,2
1228,2
1186,0
1362,3
2280,2
100,2
622,1
1143,1
1881,0
1002,2
2012,0
2250,1
498,3
220,0
2369,2
2617,1
651,3
1143,0
167,1
1715,0
2190,3
77,1
1162,1
2365,3
1107,3
109,1
2653,3
573,1
1964,1
227,3
6,2
107,0
1669,3
57,2
673,0
1959,3
164,3
1298,3
363,2
2593,3
111,3
2003,3
1821,0
1753,1
1984,2
253,1
1301,1
2092,2
2602,1
1590,3
2352,3
379,1
2768,2
2117,3
302,3
2432,1
48,2
894,1
1866,3
1118,0
1857,3
2440,3
1633,0
1011,2
232,0
507,3
553,3
1345,2
1973,1
1625,1
1637,1
2764,0
699,2
1229,0
2481,2
148,1
2376,0
2434,1
2008,1
439,3
1456,1
1458,3
908,0
2444,3
632,0
821,3
2381,2
1628,2
312,1
2359,2
1320,2
2302,3
2541,1
966,0
934,2
1693,1
257,3
1254,0
2271,0
870,2
260,1
2340,2
2767,1
880,1
1597,2
2521,0
317,1
1779,3
2556,1
391,2
1219,1
368,0
191,2
2604,1
1034,1
1901,1
445,3
2389,2
1751,1
746,2
993,1
2645,3
1192,3
968,1
2720,1
2407,1
403,2
2363,3
103,1
322,1
1225,1
2658,2
742,0
1282,1
1725,1
704,3
2889,3
1919,2
981,0
223,2
21,3
671,2
1293,0
1423,2
533,0
2292,0
641,3
2045,3
956,2
69,2
2394,1
2520,2
1848,1
1502,3
1276,3
2030,1
2608,1
1902,2
151,1
718,0
811,1
1455,1
337,2
2013,3
2046,2
977,3
457,2
2730,1
1010,2
768,3
649,0
1171,1
2143,0
1341,0
719,0
1459,0
2032,3
2889,0
2384,1
1879,0
1396,2
240,0
2825,3
734,3
1760,3
2252,0
794,1
350,3
1428,3
2041,2
2100,1
109,3
2749,1
96,1
1851,2
2451,0
1325,3
2360,1
509,1
99,0
2280,3
2488,1
2893,3
687,3
1752,0
1966,2
1220,3
2152,0
335,1
2466,3
2684,1
158,0
2190,2
698,3
2432,0
2281,3
720,0
1661,1
152,3
1382,3
2756,0
1593,0
437,2
1087,3
849,0
747,1
2347,2
2609,3
2468,2
906,0
1414,1
1837,0
2373,3
919,3
636,1
2489,2
2781,2
2516,2
1915,3
1917,0
1881,2
1253,2
2223,0
1600,2
1194,1
2251,3
248,1
2334,2
2436,3
1698,3
178,1
377,1
1963,2
600,1
71,1
494,2
2174,0
674,2
2315,0
2206,0
1909,2
586,1
792,2
2902,2
1979,0
710,1
957,0
166,0
1164,3
1943,1
726,0
667,2
2547,0
872,2
499,1
1910,3
2194,1
342,3
1635,3
2267,0
2093,0
881,2
2019,1
1018,0
1564,1
755,3
1546,1
1058,2
598,0
2317,1
2422,3
2007,1
2847,3
1991,0
898,1
2579,3
1366,1
422,2
2325,1
1659,1
2205,3
860,3
1005,0
1002,1
807,1
480,0
1082,2
2222,1
2320,0
1201,1
256,1
1515,0
45,1
2785,3
458,2
1295,0
1374,1
1432,1
347,1
1626,2
970,1
1350,1
146,1
536,1
1631,1
474,1
87,0
1909,3
829,1
547,2
949,0
685,2
1117,2
2281,0
1292,3
1235,3
1133,3
1451,1
180,1
1838,0
479,2
909,0
1461,0
721,2
1493,1
133,1
380,0
1660,2
2447,3
538,2
2702,3
1154,1
90,2
167,3
1258,0
521,0
2842,1
1198,0
422,0
2439,2
2520,3
32,3
585,0
601,2
1494,1
1468,0
304,3
832,3
1045,1
624,2
68,3
2287,3
335,0
737,3
2782,1
1755,2
1671,1
1684,0
2162,2
2770,2
881,0
660,3
535,3
209,3
137,0
222,2
417,3
24,0
2548,1
1975,1
1960,2
1312,1
948,3
1529,1
1840,3
284,1
791,1
2564,0
506,1
2506,2
556,1
328,3
165,0
2000,2
73,0
2124,3
2119,0
609,3
2807,3
2409,1
1215,1
2242,0
423,3
2350,0
1926,2
2293,3
1218,2
351,1
2423,0
818,1
1677,1
1774,0
2052,1
20,2
189,1
953,3
1786,0
864,0
2402,2
1308,3
2873,1
0,0
1757,3
515,0
1830,0
752,0
2059,2
488,2
30,3
1049,1
1298,2
1482,3
1958,2
441,1
2298,3
480,2
567,0
1508,1
1637,0
2277,0
2753,0
2682,1
1283,0
2864,0
2615,0
2098,0
2285,2
483,2
2527,2
341,2
106,3
1746,1
706,1
457,3
1583,2
1818,1
839,1
1031,2
1668,3
805,3
1050,2
638,3
2656,1
583,0
1707,0
1967,0
268,2
2501,2
962,1
216,1
404,3
2174,2
1014,1
1534,0
1271,2
491,1
1388,3
707,3
241,2
353,3
1339,2
2132,3
731,0
2589,2
81,1
389,2
2828,0
1658,2
280,0
2814,0
806,2
1444,3
2139,2
2614,0
96,3
424,0
305,1
2331,3
2204,2
2592,0
1289,3
2322,2
1191,2
922,3
2719,0
487,0
2255,1
1199,0
339,0
1406,0
2867,0
2256,3
2595,2
2816,3
2084,1
1482,2
2352,1
2758,3
125,3
614,3
1356,3
1464,3
2539,0
2386,0
282,2
333,3
484,0
504,0
1384,2
882,1
1725,0
425,1
2255,2
1020,3
1226,0
2440,2
2784,0
1305,2
660,1
1555,1
733,1
418,0
787,0
506,0
1157,1
2267,1
1301,2
1021,1
387,1
1976,3
663,2
473,1
2141,0
235,3
2886,3
1807,0
1736,3
2328,2
1211,0
95,1
1060,0
1627,3
900,0
886,2
538,3
879,1
1408,3
662,3
808,3
1256,3
2840,1
1956,3
2643,2
1555,2
1876,1
1944,1
2335,1
1702,0
1830,2
643,2
588,0
2735,2
142,1
1826,1
473,2
2885,2
2661,2
807,3
850,3
2125,2
2825,0
2848,2
1771,0
803,3
2308,0
2668,1
2263,3
538,0
591,2
1791,0
1892,1
2900,1
2114,1
717,2
1668,2
478,1
1392,2
1217,1
974,3
1961,1
69,1
1296,1
539,0
2632,0
1896,3
2606,1
927,1
1577,1
2806,1
161,3
1614,2
713,2
550,1
2868,3
2139,1
1560,2
1178,1
2584,2
1803,0
2745,1
2345,0
1529,0
2333,0
1200,2
1210,3
469,0
1083,2
2203,2
1984,0
2911,2
1710,3
1052,2
1325,1
654,2
1209,1
2249,3
2055,0
940,2
356,2
2636,1
2647,0
395,1
1968,3
2254,1
124,2
292,3
118,0
2022,3
1807,2
2474,2
992,0
2166,2
1829,2
1988,0
307,2
2477,3
1550,1
1841,0
2795,3
1284,3
2567,0
1713,1
683,3
475,0
698,1
2257,1
2733,1
549,3
2433,3
620,2
1633,3
762,0
787,3
1743,1
2371,0
2443,2
2374,1
508,2
540,3
2025,1
915,0
2900,3
2018,0
565,0
537,1
763,3
1258,2
1846,1
527,0
196,1
644,2
449,1
884,1
2681,3
915,3
949,2
1580,1
1173,1
1165,1
2387,1
66,3
980,3
2641,1
177,1
1146,3
734,1
670,1
790,1
2886,2
241,3
1908,2
2411,2
253,2
407,2
960,0
945,0
565,2
1601,0
2485,0
2213,2
2234,3
667,1
2050,1
2187,1
2480,2
514,2
1199,3
1654,0
493,1
1088,0
116,3
1522,2
1411,0
2686,1
2060,1
1451,3
1878,1
423,2
1809,2
430,1
1168,1
508,1
2033,1
1721,3
34,1
208,3
2556,0
1045,3
2019,0
277,3
2097,1
1081,2
221,1
477,1
2879,3
1316,1
1800,3
2431,1
2666,0
278,1
2071,1
1834,2
1978,3
653,1
2852,2
695,0
2553,3
1904,1
2812,1
2305,3
2761,3
2442,1
1266,1
707,0
403,3
1811,1
373,1
502,2
2680,0
316,2
891,0
2314,2
1724,1
1324,3
1612,2
1075,2
2051,0
2572,2
313,3
816,2
185,1
2690,2
1958,1
2146,3
2712,1
2354,1
1552,0
869,2
877,2
2447,1
671,3
2022,1
1153,0
929,2
1313,3
608,3
1656,2
1034,3
1400,2
926,1
2071,0
1136,1
2347,3
230,3
1264,0
562,3
2360,0
1732,3
1588,2
1163,3
1445,1
2511,0
518,3
1969,2
899,1
2398,2
1210,2
748,1
1739,2
2327,3
1531,3
124,1
2473,0
928,3
793,1
2429,3
2507,0
410,1
1084,3
841,0
439,0
2277,2
2789,0
1622,1
11,3
566,0
1112,2
2433,1
2123,3
500,0
2418,1
1338,1
753,3
2398,0
1446,1
638,1
1305,0
2814,3
559,3
697,0
121,2
2091,3
1343,2
283,0
690,2
2202,3
1360,2
168,1
2811,2
90,3
2620,1
451,1
1677,0
258,3
1978,1
2252,1
1469,0
504,1
232,1
99,2
1566,3
2577,0
2183,1
2603,3
1,0
543,0
205,0
179,0
1150,2
2363,1
1684,3
617,3
1648,1
926,2
935,0
132,3
2146,0
1406,3
119,1
2305,1
365,0
1447,3
494,0
2626,0
159,3
2665,0
79,2
2379,3
1058,0
1654,3
2311,1
1590,1
834,1
2235,1
2400,3
2184,3
1302,0
442,1
2515,2
1782,0
1670,1
1619,3
1216,2
1911,2
2740,0
1720,0
753,0
2200,0
222,1
2655,0
911,0
1795,3
1277,3
787,1
1578,0
871,0
920,0
1322,2
2935,2
1012,2
2300,2
2527,0
1101,3
433,1
2401,3
848,0
357,1
2121,0
852,3
1574,2
311,0
1392,3
1198,3
212,3
616,0
1517,3
2214,1
1126,2
1995,2
533,1
363,3
2073,1
293,0
2100,3
77,2
882,0
1009,0
2468,1
1145,1
344,0
1068,2
1548,1
491,0
95,2
1974,1
1111,0
1801,2
1440,1
2862,0
1948,3
231,0
1504,1
1142,1
2377,1
2453,3
2682,3
577,3
1585,1
523,3
1913,2
200,3
726,3
2772,1
498,2
2727,0
1438,2
2484,3
2357,0
540,2
2821,1
2662,1
187,1
2904,0
2480,3
834,3
2289,0
1570,1
930,0
2659,2
1262,3
1282,3
1944,3
594,2
1828,3
617,1
993,2
811,3
131,3
725,2
2285,0
1051,1
2383,3
1896,0
778,3
1402,1
503,3
1591,1
2727,2
1434,1
1064,1
2732,1
1285,2
1101,2
2266,0
1244,3
942,0
526,2
2911,3
2115,3
521,3
2722,0
2031,3
2548,2
2231,3
2122,1
302,0
2573,1
1000,2
740,2
826,1
343,1
1915,2
1538,3
1317,2
2263,1
1014,0
1173,2
737,2
416,1
103,3
1929,3
344,1
1716,1
726,1
1362,0
698,2
1356,1
2616,0
1410,3
1803,3
2633,1
1074,0
2024,1
2909,3
700,0
2413,1
1042,2
236,3
2116,1
2270,3
901,2
1553,2
2214,2
1307,2
2148,3
705,2
2650,2
695,1
1973,2
2065,1
394,1
1279,3
1760,2
2412,3
2270,2
910,2
1256,0
283,1
1858,2
351,0
769,3
27,3
45,3
366,3
1722,2
500,2
2309,1
2381,1
1092,2
125,2
2651,0
1940,2
1701,3
2824,0
1125,2
2858,3
1536,3
2555,1
1344,2
1621,1
415,3
1044,0
2725,1
1685,2
2174,3
1835,2
1870,3
1265,2
1359,1
105,1
895,3
43,0
783,3
213,1
854,0
320,0
2320,1
1381,1
1764,2
1368,2
1347,2
722,0
1735,0
2367,2
2135,3
325,2
2007,2
1612,1
2664,2
745,2
1127,2
106,2
1336,2
1621,2
129,1
1074,1
791,2
1903,3
2849,1
387,3
385,2
2108,2
135,2
1524,3
2904,2
64,2
66,0
738,1
1182,1
757,1
975,0
1699,1
1643,0
567,3
2866,3
2361,1
1126,0
547,0
2822,0
428,0
1036,1
560,1
2323,1
2087,1
799,2
2632,2
2166,3
719,3
314,3
2206,1
1319,3
1299,0
1192,1
2836,3
2588,0
832,1
1650,2
1281,2
2240,3
2286,3
220,1
836,3
2321,1
2708,0
1759,0
2645,0
1781,2
2358,0
1913,0
2740,2
2828,3
2195,3
1513,2
206,1
1493,2
221,3
1554,3
2621,0
2789,1
2729,1
478,2
2351,3
1893,3
2417,0
2388,1
2347,1
1565,3
686,2
872,1
237,1
292,0
399,1
1472,2
219,2
1156,0
599,3
263,0
727,0
1372,1
1466,2
987,2
1307,1
647,1
2625,3
1480,1
1072,3
415,0
1404,3
1628,3
811,2
599,0
569,3
1317,1
375,1
2448,2
1213,0
393,3
2232,0
2588,1
1888,3
1527,2
504,2
2219,1
1090,3
95,3
1317,3
830,2
2674,0
2176,1
2159,1
2515,3
2224,3
260,0
73,2
1008,0
2661,3
2213,0
1622,0
2306,2
1949,3
1653,3
97,2
2811,1
1579,2
2506,0
824,1
1646,2
756,3
1879,1
340,1
1134,3
2235,0
826,2
2898,1
952,0
594,3
2749,3
2382,1
534,0
2346,1
2059,3
936,1
817,2
495,0
626,2
2825,1
1033,2
1187,3
1446,0
702,1
113,0
764,3
2853,1
2225,1
1938,0
1140,2
2218,2
2058,3
2360,3
1514,3
550,3
1477,0
165,1
2157,3
392,0
2699,2
1767,3
940,1
278,3
1404,1
2521,3
187,2
2135,1
2538,2
405,1
1546,0
293,2
2691,1
300,1
2453,2
2509,0
2080,2
1557,0
2681,1
1777,1
1043,3
1790,0
718,2
296,0
633,3
44,3
631,1
1144,3
1992,2
1668,0
1275,3
2614,3
524,0
1854,3
775,1
1615,0
2320,3
1751,0
2338,1
907,2
2007,0
2701,0
259,2
119,0
2679,3
1270,0
1152,2
1113,1
2428,2
2329,2
1145,0
258,1
166,2
2094,2
1148,0
2542,2
2255,0
900,2
2078,1
1340,3
2312,0
160,1
527,3
1773,0
976,0
792,0
556,0
2808,3
2181,3
931,2
1977,0
2296,0
1730,0
482,1
1523,2
2457,3
20,3
1790,1
1986,0
1862,2
819,2
1399,0
2565,0
638,2
59,2
1203,1
2291,3
1130,3
663,0
2026,3
555,3
2736,2
2688,2
145,0
2029,0
129,2
813,2
1470,2
1853,0
867,2
1867,2
1603,2
956,1
96,2
397,1
1585,2
363,0
2184,2
508,0
627,1
657,0
2201,1
1032,3
1689,0
2216,3
2918,3
2809,0
2034,3
448,0
214,2
383,1
1622,2
597,3
2272,2
2591,2
2551,0
1718,1
240,1
2779,0
2646,3
190,3
1930,1
766,0
1417,0
1761,0
653,2
2714,3
1721,0
1779,2
1103,2
2669,1
713,3
2270,0
2002,1
1214,1
503,2
586,2
1339,0
183,3
917,2
1538,0
350,1
857,0
2173,0
603,2
2541,0
908,3
2249,1
642,1
2627,0
2864,2
1657,2
157,1
1863,2
2414,3
1671,0
226,2
1763,0
1455,2
803,1
1354,0
91,2
934,3
64,1
1313,2
724,1
1584,0
1970,2
2351,1
435,1
1139,0
2040,2
2439,0
685,0
444,2
2167,1
641,2
1654,2
137,2
2097,0
1743,0
2244,3
125,0
507,1
2793,1
333,1
1857,0
424,1
2158,0
640,0
2762,2
1306,2
1925,1
2530,0
2223,1
1761,2
502,1
343,3
1657,0
2862,1
702,0
2220,3
1417,1
1488,1
1859,0
1844,3
1022,3
705,0
2066,0
2365,0
2631,1
986,0
1032,2
1374,0
677,0
1749,0
217,2
2163,1
1269,1
2876,3
667,3
11,2
1093,0
2745,3
1901,3
2342,1
2412,0
1959,0
1996,0
778,0
1818,2
281,1
996,3
2457,2
1866,0
2182,3
665,0
2777,3
259,0
1457,0
2681,0
2622,0
2537,0
1467,2
1051,0
1956,2
95,0
2497,3
769,1
1158,1
2632,3
1732,2
1290,1
955,2
2813,0
1650,3
1411,2
971,3
1564,2
961,0
627,2
1424,2
39,0
306,1
1601,2
1959,2
1020,0
1975,3
2437,0
758,1
164,0
1625,0
1373,2
1298,1
1600,1
2040,1
1966,1
2318,2
1818,3
2539,2
1103,0
185,2
2262,3
451,2
2110,2
2440,1
2520,0
2848,0
608,1
2757,2
1134,2
2199,1
495,2
108,3
2826,2
2008,0
2580,2
1855,2
13,2
19,0
1478,0
992,1
2003,0
1663,1
2134,1
1861,3
2441,0
546,2
659,2
2066,1
2322,1
237,2
723,1
217,3
1117,0
823,3
280,3
1624,2
841,2
991,2
2478,1
590,3
276,2
510,0
2718,3
951,3
1222,1
324,1
1233,0
2494,1
2798,3
1440,2
2539,3
1381,3
726,2
1444,0
717,3
2514,1
1877,2
2558,0
959,3
1787,2
241,1
896,0
1013,3
1417,2
1464,0
2529,3
1294,2
1542,2
847,0
2491,3
2429,0
1193,2
490,0
2391,3
2375,2
299,0
1161,2
1140,1
688,2
1918,1
1951,0
1322,0
1121,2
1611,1
2583,1
2777,1
1989,3
2915,2
1160,2
916,3
2774,1
871,3
8,1
1745,1
584,2
2406,3
2390,3
274,2
2456,3
292,1
2624,1
1840,1
2237,1
1672,1
2151,2
938,2
2535,2
1729,0
87,3
1238,2
1713,2
772,1
1838,1
861,1
2545,1
1279,0
1810,2
2052,2
382,0
1203,3
1433,3
2418,2
1666,3
1595,2
1744,1
1871,1
2922,2
2415,1
968,2
2905,3
2473,2
170,1
700,2
1447,2
2306,3
1785,3
300,0
1497,3
329,2
2131,1
203,1
765,3
2723,3
1741,3
1072,1
2638,2
1709,2
2209,2
2481,1
2679,1
1919,3
592,0
1535,2
1164,1
185,0
2036,3
2443,3
831,0
2014,2
365,2
380,3
620,3
1680,1
527,1
1367,1
1940,1
2739,2
1535,1
908,2
1399,2
1903,1
177,0
1503,1
1730,2
2010,1
971,1
239,0
831,1
24,1
1206,3
2353,1
1606,3
1872,0
1275,0
2708,1
1066,1
1648,0
2280,0
2503,3
1696,3
163,2
2492,0
22,0
487,1
1750,3
1552,3
1936,2
800,3
1514,1
2147,1
2410,2
676,0
1453,2
1762,0
799,3
2517,2
275,3
2057,3
1449,3
2085,2
1969,1
1072,2
659,0
2606,2
350,2
1297,0
2459,2
1147,3
82,0
2353,0
1055,1
181,3
920,1
1948,0
862,2
1799,2
939,1
653,0
1942,2
2633,3
2838,0
2083,2
2343,3
1348,1
2692,2
60,2
576,1
1331,1
344,3
2113,2
2378,2
862,0
764,0
2177,3
202,1
466,1
326,1
2648,3
91,1
1375,0
2091,2
890,2
2353,2
1236,3
975,1
871,2
1525,0
2631,0
2476,1
781,0
1369,3
2194,0
865,3
2870,2
2903,0
2032,2
1296,2
2027,2
1946,1
2755,1
2519,3
2383,2
2397,2
341,0
2525,2
930,3
2616,3
198,2
1372,0
46,0
2676,1
2057,2
1689,1
784,2
2095,2
1914,0
1044,1
1435,2
2033,0
371,2
1729,3
881,3
2211,2
140,2
1563,1
727,1
1166,3
2698,0
487,2
1558,3
192,1
542,1
2015,1
2009,0
2697,0
182,1
42,1
531,0
421,2
2612,2
1564,3
1001,2
524,3
2908,2
250,3
2173,1
2331,2
1858,0
1461,3
100,0
1749,3
323,3
885,3
541,0
238,3
1615,2
2415,3
1645,1
2846,2
1474,2
2395,2
2626,2
577,0
2452,3
2596,2
367,3
2454,1
2155,1
174,1
1882,2
1387,3
2152,3
461,0
1423,0
426,0
1985,3
759,3
646,1
1481,3
1735,1
833,2
720,2
2940,2
141,1
266,2
2465,1
2875,1
725,3
1152,3
1765,0
2601,1
1868,1
111,2
447,3
1829,0
1969,3
416,0
1731,1
308,3
2278,0
1821,2
1831,0
1241,1
2553,1
279,1
1877,3
262,3
837,1
1297,1
1388,2
2546,2
252,1
388,2
1722,0
1350,2
603,1
679,3
2365,2
514,1
2811,0
2271,3
1383,1
1697,3
1224,0
1161,0
153,2
2667,2
2710,1
1406,1
10,1
2115,0
624,3
1466,0
2513,1
436,2
1740,2
785,1
2826,3
2385,3
771,1
6,0
2502,0
1756,2
955,3
2853,3
1245,3
1373,3
365,1
828,2
2861,1
2636,3
973,0
1430,1
377,0
460,1
841,3
2800,3
496,3
1749,2
1783,3
36,3
436,3
2874,1
1097,2
407,0
234,0
2604,2
2446,1
1019,1
2760,0
2695,3
2093,3
445,1
38,2
1393,0
1875,1
2302,1
2573,2
2566,0
2504,0
1778,0
1952,0
1641,1
2293,0
476,2
128,0
1371,3
769,0
52,3
543,1
852,2
117,3
2529,0
2126,2
1214,0
2716,1
2216,0
57,3
2654,2
2462,2
1481,2
1562,2
2215,2
1079,3
977,2
252,0
74,3
585,3
697,1
1900,1
1292,1
1247,0
1776,1
33,0
1981,0
431,1
2818,3
2876,0
660,0
2752,3
1822,2
2253,2
805,0
1611,2
961,3
1138,3
2773,2
184,0
2848,1
2451,3
155,3
2151,0
1360,1
856,3
1593,3
1695,0
965,2
2351,0
1929,1
952,3
597,0
237,3
1044,3
2398,3
1271,3
1995,1
290,2
1365,2
1599,2
833,1
1368,1
1528,1
1125,1
250,0
576,2
2169,0
1434,2
827,3
2351,2
1102,0
1148,3
1692,3
1673,0
997,3
954,3
1567,0
2313,2
2046,3
1165,3
2048,0
2423,1
911,1
345,1
2075,3
1448,2
1041,2
389,1
1359,3
1540,1
2264,3
2775,1
1197,0
2292,1
820,0
1720,2
2456,2
815,0
2896,0
1719,1
858,3
2495,2
2797,3
2300,3
1065,2
2897,1
2696,2
2878,0
838,1
2915,3
2544,1
2165,1
209,2
1886,3
1351,0
1487,3
1780,2
1343,0
2788,3
2073,2
2461,3
2144,0
3,1
2120,2
2182,2
242,2
2869,2
1418,1
2326,1
2741,1
301,2
619,1
1070,3
454,1
2620,2
2852,3
1457,1
2141,2
1104,0
1345,1
822,3
2106,3
812,3
1,2
2047,3
2354,0
2272,3
1474,1
2311,0
2063,0
1889,3
2778,3
664,0
2103,1
1587,1
545,3
2557,0
1802,2
2118,0
937,3
453,2
372,0
2311,2
2463,2
1109,0
928,1
2893,0
1456,3
1430,2
978,3
1745,0
114,1
386,0
636,2
1631,3
469,3
684,1
195,2
153,0
559,2
2506,1
168,0
520,2
1945,0
1829,1
2458,1
1133,1
2704,3
2500,0
2821,3
1272,3
2916,3
670,0
1520,3
694,2
2791,0
2488,0
2685,0
812,1
637,3
2400,1
2071,3
2116,3
2584,1
2732,2
1339,1
689,1
899,2
2348,2
1261,2
2227,0
73,3
1793,0
443,2
1511,1
294,0
2068,2
476,1
19,2
262,0
2860,2
2006,1
1631,0
1706,3
2139,0
2329,3
2069,0
1175,1
1184,0
1118,3
2393,3
1620,2
1202,1
2369,1
2018,2
1482,1
35,3
2608,2
1083,1
1068,3
1124,0
309,3
813,0
2735,0
605,3
729,0
641,0
1810,0
1424,1
2691,3
1860,2
1911,1
612,3
1823,2
2325,0
2405,0
2852,0
235,2
898,0
1477,3
1962,2
1986,2
1976,2
1220,1
1178,3
700,1
469,1
228,0
1624,3
1294,3
1954,2
2110,0
677,3
2820,0
2119,2
2191,3
2174,1
772,3
2193,1
2256,1
2696,0
1568,1
1679,3
1941,2
1892,0
2559,3
2829,2
1882,0
436,1
2120,3
1889,1
2238,0
1921,2
1369,0
328,2
1064,2
1218,1
1234,2
14,0
1980,3
2142,0
253,3
1566,2
58,3
2877,1
2140,0
1240,3
365,3
929,1
2512,0
148,3
1678,3
380,2
2033,2
1524,1
2493,3
1774,2
2028,1
1216,1
250,1
1286,3
316,1
544,0
11,0
165,3
1820,2
2757,1
1439,1
2368,3
322,2
2586,3
2570,2
1639,3
271,0
1957,1
1969,0
62,1
571,2
2225,2
661,0
82,3
1701,0
398,3
950,0
2065,2
1840,2
557,0
674,0
1032,1
1362,1
2895,3
1122,2
596,3
2100,2
1324,1
2687,0
2012,3
84,3
2346,3
878,0
2683,3
1771,2
2590,0
510,1
1997,2
53,2
2618,2
1965,2
1146,2
172,1
1286,0
234,1
588,1
2021,3
2534,2
59,1
1916,1
929,3
74,1
2109,2
1598,3
2325,2
1447,0
361,3
1086,0
2062,0
1429,0
1407,1
2753,1
2595,1
1031,3
2095,3
1955,2
2429,1
443,3
1654,1
960,3
215,2
2713,0
1290,0
1412,2
2092,1
1478,1
139,1
2484,2
170,2
817,1
2240,2
311,3
1136,2
2450,0
1075,3
685,1
2366,0
2001,0
2877,2
1629,3
1211,2
2665,2
2842,2
1870,0
2735,3
503,0
2318,3
